time,gFx,gFy,gFz,wx,wy,wz,
4.194254,-0.0407,0.0191,1.0084,-0.0274,0.1092,0.8790,
4.195350,-0.0407,0.0191,1.0084,-0.0274,0.1092,0.8790,
4.250825,-0.0557,0.0223,1.0073,-0.0274,0.1092,0.8790,
4.252959,-0.0557,0.0223,1.0073,0.1012,0.2217,0.8868,
4.254260,-0.0557,0.0223,1.0073,0.1012,0.2217,0.8868,
4.309921,-0.0543,0.0739,0.9890,0.1012,0.2217,0.8868,
4.312120,-0.0543,0.0739,0.9890,0.0315,0.1894,0.7488,
4.313455,-0.0543,0.0739,0.9890,0.0315,0.1894,0.7488,
4.367889,-0.0557,0.0965,0.9706,0.0315,0.1894,0.7488,
4.369544,-0.0557,0.0965,0.9706,0.0315,0.1894,0.7488,
4.427506,-0.0557,0.0965,0.9706,-0.2462,0.0910,0.6871,
4.429394,-0.0557,0.0965,0.9706,-0.2462,0.0910,0.6871,
4.430268,-0.0692,0.0861,1.0007,-0.2462,0.0910,0.6871,
4.486644,-0.0692,0.0861,1.0007,-0.0352,0.1496,0.6592,
4.488779,-0.0692,0.0861,1.0007,-0.0352,0.1496,0.6592,
4.489726,-0.0656,0.1174,0.9753,-0.0352,0.1496,0.6592,
4.545291,-0.0593,0.1298,0.9837,-0.0352,0.1496,0.6592,
4.547233,-0.0593,0.1298,0.9837,-0.0352,0.1496,0.6592,
4.548364,-0.0593,0.1298,0.9837,-0.0381,0.1119,0.6286,
4.603254,-0.0593,0.1298,0.9837,-0.0088,0.1646,0.5679,
4.605579,-0.0593,0.1298,0.9837,-0.0088,0.1646,0.5679,
4.663157,-0.0423,0.1662,0.9753,-0.0088,0.1646,0.5679,
4.665092,-0.0423,0.1662,0.9753,-0.0088,0.1646,0.5679,
4.666028,-0.0423,0.1662,0.9753,0.0748,0.0961,0.4189,
4.721024,-0.0676,0.1720,1.0098,0.0748,0.0961,0.4189,
4.722764,-0.0676,0.1720,1.0098,0.0748,0.0961,0.4189,
4.723594,-0.0676,0.1720,1.0098,-0.0925,0.1187,0.3529,
4.780395,-0.0986,0.1976,1.0337,-0.0925,0.1187,0.3529,
4.782688,-0.0986,0.1976,1.0337,0.0947,0.0743,0.4595,
4.784040,-0.0986,0.1976,1.0337,0.0947,0.0743,0.4595,
4.839568,-0.0847,0.1764,1.0608,0.0947,0.0743,0.4595,
4.841795,-0.0847,0.1764,1.0608,0.0947,0.0743,0.4595,
4.842812,-0.0847,0.1764,1.0608,-0.0961,-0.0228,0.5656,
4.897573,-0.0775,0.1129,1.0842,-0.0961,-0.0228,0.5656,
4.899930,-0.0775,0.1129,1.0842,-0.0961,-0.0228,0.5656,
4.957405,-0.0775,0.1129,1.0842,-0.0212,-0.0115,0.4934,
4.959221,-0.0645,0.0666,1.0669,-0.0212,-0.0115,0.4934,
4.960607,-0.0645,0.0666,1.0669,-0.0212,-0.0115,0.4934,
5.016410,-0.0645,0.0666,1.0669,0.0826,0.1733,0.4890,
5.018246,-0.0401,0.0618,0.9638,0.0826,0.1733,0.4890,
5.019762,-0.0401,0.0618,0.9638,0.0826,0.1733,0.4890,
5.074072,-0.0401,0.0618,0.9638,0.0826,0.1733,0.4890,
5.075473,-0.0401,0.0618,0.9638,0.0554,-0.0531,0.4590,
5.134102,-0.0442,0.0161,1.0087,0.0554,-0.0531,0.4590,
5.136169,-0.0442,0.0161,1.0087,0.0554,-0.0531,0.4590,
5.137151,-0.0442,0.0161,1.0087,-0.0415,0.0306,0.4357,
5.193014,-0.0483,0.0282,1.0416,-0.0415,0.0306,0.4357,
5.194620,-0.0483,0.0282,1.0416,-0.0415,0.0306,0.4357,
5.195720,-0.0483,0.0282,1.0416,-0.0289,0.0308,0.5589,
5.252349,-0.0583,0.0776,0.9894,-0.0289,0.0308,0.5589,
5.254286,-0.0583,0.0776,0.9894,-0.0289,0.0308,0.5589,
5.255256,-0.0583,0.0776,0.9894,-0.0471,0.1182,0.6777,
5.310489,-0.0719,0.1027,0.9964,-0.0471,0.1182,0.6777,
5.312512,-0.0719,0.1027,0.9964,-0.0471,0.1182,0.6777,
5.313485,-0.0719,0.1027,0.9964,-0.0334,-0.0082,0.7213,
5.368762,-0.0421,0.0986,1.0186,-0.0334,-0.0082,0.7213,
5.370710,-0.0421,0.0986,1.0186,-0.0334,-0.0082,0.7213,
5.428446,-0.0421,0.0986,1.0186,-0.1128,0.0627,0.7990,
5.430241,-0.0285,0.1285,0.9744,-0.1128,0.0627,0.7990,
5.431418,-0.0285,0.1285,0.9744,-0.1128,0.0627,0.7990,
5.487109,-0.0285,0.1285,0.9744,0.0287,0.0988,0.8537,
5.489012,-0.0285,0.1285,0.9744,0.0287,0.0988,0.8537,
5.489953,-0.0539,0.1379,0.9956,0.0287,0.0988,0.8537,
5.546098,-0.0539,0.1379,0.9956,0.0287,0.0988,0.8537,
5.547499,-0.0539,0.1379,0.9956,0.0415,0.1022,0.9336,
5.549019,-0.0632,0.1565,0.9855,0.0415,0.1022,0.9336,
5.604090,-0.0632,0.1565,0.9855,0.0177,0.1720,1.0233,
5.605757,-0.0632,0.1565,0.9855,0.0177,0.1720,1.0233,
5.664005,-0.0632,0.1565,0.9855,0.1394,0.1004,1.0441,
5.665992,-0.0666,0.1787,1.0382,0.1394,0.1004,1.0441,
5.667286,-0.0666,0.1787,1.0382,0.1394,0.1004,1.0441,
5.722597,-0.0666,0.1787,1.0382,-0.0807,0.0636,1.0373,
5.724598,-0.0333,0.1925,1.0613,-0.0807,0.0636,1.0373,
5.725994,-0.0333,0.1925,1.0613,-0.0807,0.0636,1.0373,
5.781689,-0.0353,0.1457,1.0762,-0.0807,0.0636,1.0373,
5.783532,-0.0353,0.1457,1.0762,-0.0807,0.0636,1.0373,
5.784619,-0.0353,0.1457,1.0762,0.0173,0.0247,1.0750,
5.840424,-0.0353,0.1457,1.0762,0.0173,0.0247,1.0750,
5.841880,-0.0353,0.1457,1.0762,0.0491,0.0114,1.0682,
5.844776,-0.0364,0.0717,1.0378,0.0491,0.0114,1.0682,
5.898348,-0.0522,0.0109,1.0245,0.0491,0.0114,1.0682,
5.900248,-0.0522,0.0109,1.0245,0.0491,0.0114,1.0682,
5.957086,-0.0522,0.0109,1.0245,0.1574,0.1574,1.0119,
5.958824,-0.0779,0.0256,0.9960,0.1574,0.1574,1.0119,
5.960479,-0.0779,0.0256,0.9960,0.1574,0.1574,1.0119,
6.017014,-0.0779,0.0256,0.9960,0.2225,0.2585,1.1785,
6.019045,-0.0996,0.0503,0.9984,0.2225,0.2585,1.1785,
6.020666,-0.0996,0.0503,0.9984,0.2225,0.2585,1.1785,
6.075135,-0.0996,0.0503,0.9984,-0.0095,0.2390,1.2185,
6.077075,-0.0996,0.0503,0.9984,-0.0095,0.2390,1.2185,
6.134871,-0.0996,0.0503,0.9984,-0.1497,0.1490,1.1151,
6.136900,-0.0996,0.0503,0.9984,-0.1497,0.1490,1.1151,
6.137843,-0.0573,0.0809,0.9724,-0.1497,0.1490,1.1151,
6.193154,-0.0339,0.1036,0.9937,-0.1497,0.1490,1.1151,
6.195355,-0.0339,0.1036,0.9937,-0.1294,0.1260,1.0022,
6.196825,-0.0339,0.1036,0.9937,-0.1294,0.1260,1.0022,
6.253195,-0.0251,0.1343,0.9749,-0.1294,0.1260,1.0022,
6.254958,-0.0251,0.1343,0.9749,-0.1249,0.1432,0.9821,
6.256535,-0.0251,0.1343,0.9749,-0.1249,0.1432,0.9821,
6.311331,-0.0178,0.1541,0.9634,-0.1249,0.1432,0.9821,
6.313512,-0.0178,0.1541,0.9634,-0.0705,0.0946,0.8924,
6.314883,-0.0178,0.1541,0.9634,-0.0705,0.0946,0.8924,
6.369373,-0.0248,0.1825,0.9963,-0.0705,0.0946,0.8924,
6.371345,-0.0248,0.1825,0.9963,-0.0705,0.0946,0.8924,
6.429362,-0.0248,0.1825,0.9963,0.0139,0.0396,0.8323,
6.431207,-0.0332,0.2062,0.9959,0.0139,0.0396,0.8323,
6.433158,-0.0332,0.2062,0.9959,0.0139,0.0396,0.8323,
6.488129,-0.0332,0.2062,0.9959,0.0124,0.1163,0.7295,
6.489961,-0.0332,0.2062,0.9959,0.0124,0.1163,0.7295,
6.490889,-0.0576,0.2101,1.0352,0.0124,0.1163,0.7295,
6.546890,-0.0339,0.2183,1.0510,0.0124,0.1163,0.7295,
6.549028,-0.0339,0.2183,1.0510,0.1413,0.1429,0.6982,
6.550335,-0.0339,0.2183,1.0510,0.1413,0.1429,0.6982,
6.604935,-0.0339,0.2183,1.0510,0.1012,0.0305,0.7136,
